"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"STM32F103TBU7","STMicroelectronics","497-18523-ND","","U1","Tray","Active","1","6.04000","$6.04","2917","8 Weeks","IC MCU 32BIT 128KB FLASH 36FPN","ROHS3 Compliant","Lead free","REACH Unaffected"
"T491A475K016AT","KEMET","399-3697-1-ND","","C9,C10","Cut Tape (CT)","Active","2","0.41000","$0.82","294080","12 Weeks","CAP TANT 4.7UF 10% 16V 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL31B104KBCNNNC","Samsung Electro-Mechanics","1276-1017-1-ND","","C6,C3,C4,C5,C7","Cut Tape (CT)","Active","5","0.12000","$0.60","925220","Not Available","CAP CER 0.1UF 50V X7R 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL31C270JBCNNNC","Samsung Electro-Mechanics","1276-2826-1-ND","","C1,C2","Cut Tape (CT)","Active","2","0.21000","$0.42","40000","22 Weeks","CAP CER 27PF 50V C0G/NP0 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"1206AC103KAT1A","AVX Corporation","478-13075-1-ND","","C8","Cut Tape (CT)","Active","1","0.35000","$0.35","3865","14 Weeks","CAP CER 0.01UF 1KV X7R 1206","ROHS3 Compliant","Lead free","Not Available"
"QTLP650D4TR","Everlight Electronics Co Ltd","1080-1419-1-ND","","D1","Cut Tape (CT)","Active","1","0.53000","$0.53","69657","12 Weeks","LED GREEN DIFFUSED 1206 SMD","ROHS3 Compliant","Lead free","Not Available"
"68001-112HLF","Amphenol ICC (FCI)","609-3275-ND","","J1","Bag","Active","1","0.67000","$0.67","3465","8 Weeks","CONN HEADER VERT 12POS 2.54MM","RoHS Compliant","Lead free","Not Available"
"UP2-AH-4-TH","CUI Inc.","102-5896-ND","","J2","Tray","Active","1","0.88000","$0.88","4466","12 Weeks","CONN PLUG USB2.0 TYPEA 4POS R/A","RoHS Compliant","Lead free","Not Available"
"PLT1206Z5000AST5","Vishay Thin Film","PLT1206-500ACT-ND","","R1","Cut Tape (CT)","Active","1","5.77000","$5.77","2802","Not Available","RES SMD 500 OHM 0.05% 0.4W 1206","ROHS3 Compliant","Lead free","Not Available"
"MCA12060D1002BP500","Vishay Beyschlag","749-1550-1-ND","","R2,R3","Cut Tape (CT)","Active","2","0.70000","$1.40","10191","10 Weeks","RES SMD 10K OHM 0.1% 1/4W 1206","ROHS3 Compliant","Lead free","Not Available"
"LP2985-33DBVR","Texas Instruments","296-18476-1-ND","","U2","Cut Tape (CT)","Active","1","0.60000","$0.60","200723","6 Weeks","IC REG LINEAR 3.3V 150MA SOT23-5","ROHS3 Compliant","Lead free","REACH Unaffected"
"NUF2221W1T2G","ON Semiconductor","NUF2221W1T2GOSCT-ND","","U3","Cut Tape (CT)","Active","1","0.36000","$0.36","6826","8 Weeks","FILTER RC(PI) 22 OHM/42PF SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"ABM8G-12.000MHZ-4Y-T3","Abracon LLC","535-10901-1-ND","","X1","Cut Tape (CT)","Active","1","0.45000","$0.45","42092","15 Weeks","CRYSTAL 12.0000MHZ 10PF SMD","RoHS Compliant","Lead free","REACH Affected"
