Id,Designator,Package,Quantity,Designation,Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Temp Range
1,U1,QFN36,1,STM32F103TB,497-18523-ND,STI,STM32F103TBU7,-40°C ~ 105°C
2,"C9,C10",1206,2,4.7uF,399-3697-1-ND ,KEMET ,T491A475K016AT,-55°C ~ 125°C
3,"C6,C3,C4,C5,C7",1206,5,0.1uF,1276-1017-1-ND,Samsung Electro-Mechanics,CL31B104KBCNNNC,-55°C ~ 125°C
4,"C1,C2",1206,2,27pF,1276-2826-1-ND,Samsung Electro-Mechanics,CL31C270JBCNNNC,-55°C ~ 125°C
5,C8,1206,1,0.01uF,478-13075-1-ND , AVX Corporation,1206AC103KAT1A,-55°C ~ 125°C
6,D1,1206,1,GREEN,1080-1419-1-ND ,Everlight Electronics Co Ltd,QTLP650D4TR,?
7,J1,PinHeader_1x4_P2.54mm_Drill1.02mm,1,Conn_01x04_Male,609-3275-ND ,Amphenol ICC (FCI),68001-112HLF,?
8,J2,USB_Male_A_UP2-AH-1-TH,1,USB_A,102-5896-ND,,UP2-AH-4-TH ,
9,JP1,PinHeader_1x2_P2.54mm_Drill1.02mm,1,Jumper,,,,
10,R1,1206,1,500,PLT1206-500ATR-ND ,Vishay Thin Film,PLT1206-500ACT-ND ,-55°C ~ 155°C
11,"R2,R3",1206,2,10k,749-1550-1-ND,Vishay Beyschlag,MCA12060D1002BP500,-55°C ~ 125°C
12,U2,SOT23-5,1,LP2985-33, 296-18476-1-ND,Texas Instruments,LP2985-33DBVR, -40°C ~ 125°C
13,U3,SOT363,1,NUF2221W1,NUF2221W1T2GOSCT-ND ,ON Semiconductor,NUF2221W1T2G,-55°C ~ 125°C
14,X1,ABM8G,1,12MHz,535-10901-1-ND ,Abracon LLC,ABM8G-12.000MHZ-4Y-T3 ,-10°C ~ 60°C
